,Class,params
0,Abnormal,"(384.6494, array(2083.05789001), 824.7694, 25.562476699455303, 9.255654716818661)"
1,Abnormal,"(416.53207, array(2609.11799689), 1019.30975, 28.7303192514059, 21.314863058198096)"
2,Abnormal,"(392.69962, array(2765.82409204), 1387.4852, 41.87204013881234, 31.61652776522424)"
3,Abnormal,"(408.23645, array(6693.08686597), 2498.012, 99.054357929055, 258.7028569367916)"
4,Normal,"(582.74615, array(20975.39204019), 4346.7935, 174.28909947308398, 549.3448824736847)"
5,Normal,"(419.416, array(2193.27025775), 2517.2417, 27.179036745470384, 28.194455109496268)"
6,Abnormal,"(370.60278, array(1353.09640888), 985.5368, 26.324266549046364, 8.630733354194325)"
7,Abnormal,"(384.14944, array(1745.57823798), 687.1823, 30.475254978807957, -1.5980782620079879)"
8,Abnormal,"(494.52423, array(3470.29941568), 1127.6906, 30.16747090834557, 10.604521910677834)"
9,Abnormal,"(479.7764, array(2121.37861666), 1566.4385, 21.483214049673727, -1.468859184542998)"
10,Normal,"(344.9709, array(2831.40939458), 718.09094, 19.661396940147693, 15.853060822118861)"
11,Abnormal,"(436.19516, array(616.40784369), 385.96494, 8.00667424105512, -6.315299221067204)"
12,Normal,"(569.4886, array(8029.498689), 6452.1714, 160.12164682238642, 529.1265278411195)"
13,Abnormal,"(508.22607, array(7314.61612831), 4677.0312, 65.01889928391125, 82.68160269390775)"
14,Normal,"(334.85822, array(9945.56990869), 2806.418, 131.87260890696922, 356.2591526901996)"
15,Normal,"(575.4706, array(1474.47689), 1677.0629, 10.650620656825318, -0.11388829692970026)"
16,Abnormal,"(495.47125, array(3338.79329609), 1042.2499, 37.19003275974298, 22.134893827261767)"
17,Normal,"(403.3175, array(11029.32699306), 1442.8553, 112.45767693060294, 207.2890635982091)"
18,Normal,"(307.347, array(1243.80089346), 543.0904, 25.59744482053124, 7.630357819454582)"
19,Normal,"(467.3727, array(6975.23479684), 1837.6382, 91.4546620923984, 215.06159940999524)"
20,Normal,"(330.15707, array(711.00301865), 541.237, 28.513918912037823, 26.750932662390714)"
21,Abnormal,"(381.14694, array(688.33424823), 474.66537, 15.633792792707968, -3.0351668073675206)"
22,Abnormal,"(483.51117, array(5461.91803481), 3104.4766, 78.19210913266268, 149.7229613834015)"
23,Abnormal,"(508.08038, array(7587.01623909), 1202.9185, 142.55581929545644, 623.1904905660411)"
24,Abnormal,"(303.08124, array(3639.90559642), 1088.598, 35.21456898201416, 14.258314511799787)"
25,Normal,"(335.08676, array(1053.65101189), 544.4253, 22.165526389901697, 8.025260213425597)"
26,Normal,"(350.47433, array(938.02627808), 365.02148, 20.86733622954759, 19.1450214669848)"
27,Normal,"(403.48633, array(603.03594736), 870.7333, 7.865672220819626, -3.5788943751461058)"
28,Normal,"(595.512, array(2345.86147319), 1755.4255, 9.324104583097506, -9.606626465877826)"
29,Normal,"(235.13089, array(77.09369347), 27.783808, 1.5848856810219263, -1.436841710831863)"
30,Abnormal,"(356.42404, array(2524.37781671), 1247.4877, 39.21026381306624, 45.96630092565283)"
31,Normal,"(510.16757, array(5393.91278017), 7420.0576, 52.85066787079643, 63.602191096836464)"
32,Normal,"(369.95673, array(3226.33826035), 1136.6218, 66.72940356234125, 171.5165542335283)"
33,Normal,"(407.42804, array(3107.38568054), 2630.9778, 23.368803831289352, 19.44988262948539)"
34,Normal,"(561.5012, array(5969.86728435), 3690.25, 39.881001956283384, 39.20261194938546)"
35,Abnormal,"(408.39914, array(2368.86273333), 923.7395, 28.736552265811532, 19.805592915815087)"
36,Abnormal,"(399.49387, array(2810.91738457), 1838.1571, 35.08898033037302, 3.095918495966291)"
37,Abnormal,"(374.13788, array(1088.48199346), 501.02222, 31.780567391025915, 18.728632418188454)"
38,Normal,"(410.8095, array(14731.50251549), 670.90204, 80.77639535431211, 231.94811026979434)"
39,Abnormal,"(416.76123, array(3141.59341663), 1294.103, 34.916673129077274, 22.9503328133284)"
40,Normal,"(458.79712, array(16639.89284226), 3070.6555, 213.34516229346013, 498.8960029802163)"
41,Normal,"(512.2004, array(19090.78497341), 4390.0747, 127.59802765859223, 359.7240390752406)"
42,Abnormal,"(387.65283, array(3431.21941402), 1231.743, 29.087741268979876, 27.23003666267341)"
43,Normal,"(567.83276, array(3955.93106257), 3438.8953, 40.02639040077787, 41.190778465326794)"
44,Abnormal,"(513.0901, array(2161.04647003), 1240.5634, 35.44588383512576, 50.15599443617969)"
45,Abnormal,"(516.37244, array(3383.12126897), 1551.2661, 124.7667366985444, 407.31289209549936)"
46,Abnormal,"(405.2039, array(1684.26981077), 918.4538, 22.74330151388423, 14.308181353680805)"
47,Abnormal,"(395.60077, array(3316.67262828), 4106.9355, 37.29840134588627, 37.16332538404908)"
48,Abnormal,"(473.02094, array(1146.20846299), 542.9724, 26.32149742491314, 27.864573680334942)"
49,Abnormal,"(562.9022, array(3724.3879239), 1112.5455, 67.981350406633, 184.70104488343992)"
50,Normal,"(479.96317, array(5125.43368529), 2506.5425, 122.06860731251632, 384.70687216016745)"
51,Abnormal,"(472.0419, array(1005.74008225), 667.5475, 13.64349407232719, -4.405519832667939)"
52,Normal,"(540.1209, array(22386.84449101), 5828.489, 213.4742021933872, 528.2815807582658)"
53,Normal,"(561.7366, array(5482.54692358), 5558.819, 51.55177817339208, 89.77901564337797)"
54,Normal,"(408.5725, array(8140.16546745), 1652.8126, 78.55718467279608, 209.49974785429166)"
55,Normal,"(613.7646, array(6009.66822899), 2167.7935, 43.089717181356605, 29.072965012458596)"
56,Abnormal,"(413.85678, array(5794.4370141), 431.08533, 44.08259187205908, 103.00431964838484)"
57,Normal,"(397.12875, array(3325.25692684), 1644.9016, 43.20543344718555, 21.819120067714604)"
58,Abnormal,"(576.8999, array(958.08930652), 642.4243, 18.887495380220745, 18.227435854216893)"
59,Normal,"(512.93677, array(12078.08323738), 3300.8542, 128.53560399380618, 346.2413729810683)"
60,Abnormal,"(355.17056, array(1354.72990796), 704.54114, 32.63608731233214, 17.50620603250738)"
61,Normal,"(226.99667, array(3290.29422489), 547.07697, 17.86602867017136, 20.540987428420085)"
62,Normal,"(605.808, array(3844.35787141), 1555.3075, 29.18572140666698, 25.693620127225238)"
63,Normal,"(445.10196, array(10896.38330618), 3532.0356, 164.2033996736332, 371.3448542712378)"
64,Abnormal,"(588.90753, array(5549.68995489), 2194.175, 52.77728053561722, 71.71895350626123)"
65,Abnormal,"(506.99863, array(3534.27239701), 1775.1451, 31.558807210510302, 11.581354925107886)"
66,Normal,"(528.91736, array(418.17362812), 371.675, 3.8444077253613127, -6.44046608714902)"
67,Abnormal,"(411.45117, array(986.22092204), 638.8337, 18.740772385311267, 4.269752120994427)"
68,Normal,"(561.84766, array(3071.09813243), 1673.8064, 35.867904196905826, 44.88345945791828)"
69,Abnormal,"(464.88684, array(9384.1033355), 5582.7563, 121.88715969803496, 289.827357788261)"
70,Normal,"(340.1553, array(1653.76974701), 698.02716, 22.43845683339642, -3.891699228759283)"
71,Abnormal,"(455.25845, array(890.1860968), 632.57153, 8.81421852919145, -5.993641629180145)"
72,Normal,"(393.43088, array(8498.24121403), 2665.9167, 115.71849186641998, 309.1662432595229)"
73,Abnormal,"(477.6277, array(2910.59799274), 1066.6782, 32.76779175247072, 29.974884090984)"
74,Normal,"(482.60156, array(1863.01639313), 1462.4929, 25.18443466767473, 16.485807314802685)"
75,Abnormal,"(520.7904, array(24332.89260042), 3353.1733, 147.43749036041896, 464.42900469985454)"
76,Abnormal,"(381.4607, array(3572.37382054), 1486.8699, 31.466899618530213, 19.047383483830664)"
77,Normal,"(552.4504, array(936.87874399), 918.21075, 18.068962153217107, 18.881600436482945)"
78,Normal,"(542.39545, array(39929.8157804), 6367.3833, 207.57474038380064, 500.3089539748425)"
79,Normal,"(410.17883, array(2284.84490751), 2540.572, 41.42233417684273, 55.42834023112372)"
